INFO:root:server started
INFO:root:delegating col 114
INFO:root:col 114 processed
INFO:root:delegating col 115
INFO:root:col 115 processed
INFO:root:delegating col 116
INFO:root:col 116 processed
INFO:root:delegating col 117
INFO:root:col 117 processed
INFO:root:delegating col 118
INFO:root:col 118 processed
INFO:root:delegating col 119
INFO:root:col 119 processed
INFO:root:delegating col 120
INFO:root:col 120 processed
INFO:root:delegating col 121
INFO:root:col 121 processed
INFO:root:delegating col 122
INFO:root:col 122 processed
INFO:root:delegating col 123
INFO:root:col 123 processed
INFO:root:delegating col 124
INFO:root:col 124 processed
INFO:root:delegating col 125
INFO:root:col 125 processed
INFO:root:delegating col 126
INFO:root:col 126 processed
INFO:root:delegating col 127
INFO:root:col 127 processed
INFO:root:delegating col 128
INFO:root:col 128 processed
INFO:root:delegating col 129
INFO:root:col 129 processed
INFO:root:delegating col 130
INFO:root:col 130 processed
INFO:root:delegating col 131
INFO:root:col 131 processed
INFO:root:delegating col 132
INFO:root:col 132 processed
INFO:root:delegating col 133
INFO:root:col 133 processed
INFO:root:delegating col 134
INFO:root:col 134 processed
INFO:root:delegating col 135
INFO:root:col 135 processed
INFO:root:delegating col 136
INFO:root:col 136 processed
INFO:root:delegating col 137
INFO:root:col 137 processed
INFO:root:delegating col 138
INFO:root:col 138 processed
INFO:root:delegating col 139
INFO:root:col 139 processed
INFO:root:delegating col 140
INFO:root:col 140 processed
INFO:root:delegating col 141
INFO:root:col 141 processed
INFO:root:delegating col 142
INFO:root:col 142 processed
INFO:root:delegating col 143
INFO:root:col 143 processed
INFO:root:delegating col 144
INFO:root:col 144 processed
INFO:root:delegating col 145
INFO:root:col 145 processed
INFO:root:delegating col 146
INFO:root:col 146 processed
INFO:root:delegating col 147
INFO:root:col 147 processed
INFO:root:delegating col 148
INFO:root:col 148 processed
INFO:root:delegating col 149
INFO:root:col 149 processed
INFO:root:delegating col 150
INFO:root:col 150 processed
INFO:root:delegating col 151
INFO:root:col 151 processed
INFO:root:delegating col 152
INFO:root:col 152 processed
INFO:root:delegating col 153
INFO:root:col 153 processed
INFO:root:delegating col 154
INFO:root:col 154 processed
INFO:root:delegating col 155
INFO:root:col 155 processed
INFO:root:delegating col 156
INFO:root:col 156 processed
INFO:root:delegating col 157
INFO:root:col 157 processed
INFO:root:delegating col 158
INFO:root:col 158 processed
